Hari (X1),Tanggal (X2),Bulan (X3),Tahun (X4),Komoditas,Harga (Y),X1Y,X2Y,X3Y,X4Y,X1X2,X1X3,X1X4,X2X3,X2X4,X3X4,X1KUADRAT,X2KUADRAT,X3KUADRAT,X4  KUADRAT
1,4,3,5,1,11600,11600,46400,34800,58000,4,3,5,12,20,15,1,16,9,1
3,28,2,5,1,11600,34800,324800,23200,58000,84,6,15,56,140,10,9,784,4,1
1,26,2,5,1,11000,11000,286000,22000,55000,26,2,5,52,130,10,1,676,4,1
4,22,2,5,1,11000,44000,242000,22000,55000,88,8,20,44,110,10,16,484,4,1
1,19,2,5,1,11000,11000,209000,22000,55000,19,2,5,38,95,10,1,361,4,1
1,29,1,5,1,11000,11000,319000,11000,55000,29,1,5,29,145,5,1,841,1,1
2,23,1,5,1,11000,22000,253000,11000,55000,46,2,10,23,115,5,4,529,1,1
3,17,1,5,1,11000,33000,187000,11000,55000,51,3,15,17,85,5,9,289,1,1
4,11,1,5,1,11000,44000,121000,11000,55000,44,4,20,11,55,5,16,121,1,1
1,8,1,5,1,11000,11000,88000,11000,55000,8,1,5,8,40,5,1,64,1,1
1,18,12,4,1,11000,11000,198000,132000,44000,18,12,4,216,72,48,1,324,144,1
5,15,12,4,1,11000,55000,165000,132000,44000,75,60,20,180,60,48,25,225,144,1
2,12,12,4,1,11000,22000,132000,132000,44000,24,24,8,144,48,48,4,144,144,1
4,7,12,4,1,11000,44000,77000,132000,44000,28,48,16,84,28,48,16,49,144,1
4,30,11,4,1,11000,44000,330000,121000,44000,120,44,16,330,120,44,16,900,121,1
1,27,11,4,1,11000,11000,297000,121000,44000,27,11,4,297,108,44,1,729,121,1
1,20,11,4,1,11000,11000,220000,121000,44000,20,11,4,220,80,44,1,400,121,1
3,15,11,4,1,11000,33000,165000,121000,44000,45,33,12,165,60,44,9,225,121,1
1,13,11,4,1,11000,11000,143000,121000,44000,13,11,4,143,52,44,1,169,121,1
1,6,11,4,1,11000,11000,66000,121000,44000,6,11,4,66,24,44,1,36,121,1
2,31,10,4,1,11000,22000,341000,110000,44000,62,20,8,310,124,40,4,961,100,1
2,24,10,4,1,11000,22000,264000,110000,44000,48,20,8,240,96,40,4,576,100,1
1,16,10,4,1,11000,11000,176000,110000,44000,16,10,4,160,64,40,1,256,100,1
1,9,10,4,1,11000,11000,99000,110000,44000,9,10,4,90,36,40,1,81,100,1
1,2,10,4,1,11000,11000,22000,110000,44000,2,10,4,20,8,40,1,4,100,1
2,26,9,4,1,11000,22000,286000,99000,44000,52,18,8,234,104,36,4,676,81,1
3,20,9,4,1,11000,33000,220000,99000,44000,60,27,12,180,80,36,9,400,81,1
4,14,9,4,1,11000,44000,154000,99000,44000,56,36,16,126,56,36,16,196,81,1
1,11,9,4,1,11000,11000,121000,99000,44000,11,9,4,99,44,36,1,121,81,1
2,5,9,4,1,11000,22000,55000,99000,44000,10,18,8,45,20,36,4,25,81,1
3,30,8,4,1,11000,33000,330000,88000,44000,90,24,12,240,120,32,9,900,64,1
1,21,8,4,1,11000,11000,231000,88000,44000,21,8,4,168,84,32,1,441,64,1
2,15,8,4,1,11000,22000,165000,88000,44000,30,16,8,120,60,32,4,225,64,1
2,1,8,4,1,11000,22000,11000,88000,44000,2,16,8,8,4,32,4,1,64,1
4,27,7,4,1,11000,44000,297000,77000,44000,108,28,16,189,108,28,16,729,49,1
2,25,7,4,1,11000,22000,275000,77000,44000,50,14,8,175,100,28,4,625,49,1
4,20,7,4,1,11000,44000,220000,77000,44000,80,28,16,140,80,28,16,400,49,1
1,17,7,4,1,11000,11000,187000,77000,44000,17,7,4,119,68,28,1,289,49,1
1,10,7,4,1,11000,11000,110000,77000,44000,10,7,4,70,40,28,1,100,49,1
2,4,7,4,1,11000,22000,44000,77000,44000,8,14,8,28,16,28,4,16,49,1
1,26,6,4,1,11000,11000,286000,66000,44000,26,6,4,156,104,24,1,676,36,1
